Bel Aire;37,7749;-97,2457
Belchertown;42,2787;-72,4004
Belding;43,0968;-85,2331
Belen;34,7115;-106,7985
Belgrade;45,7796;-111,1751
Bell;33,9801;-118,1798
Bell Gardens;33,9663;-118,155
Bella Vista;36,4667;-94,2707
Bellaire;29,704;-95,4622
Bellair-Meadowbrook Terrace;30,1796;-81,7375
Bellbrook;39,6384;-84,0863
Belle Chasse;29,8472;-90,0069
Belle Fourche;44,6642;-103,8564
Belle Glade;26,692;-80,6672
Belle Haven;38,7775;-77,0574
Belle Isle;28,4724;-81,3491
Belle Plaine;44,6188;-93,7643
Bellefontaine;40,3627;-83,763
Bellefontaine Neighbors;38,7529;-90,228
Bellefonte;40,9141;-77,7683
Belleview;29,0609;-82,0565
Belleville;40,795;-74,1616
Bellevue;47,5951;-122,1535
Bellflower;33,888;-118,1271
Bellingham;48,7543;-122,4687
Bellmawr;39,8665;-75,0941
Bellmead;31,6025;-97,0896
Bellmore;40,6569;-73,5285
Bellows Falls;43,1344;-72,455
Bellview;30,462;-87,312
Bellwood;41,8829;-87,8762
Belmar;40,1798;-74,0255
Belmont;37,5154;-122,2955
Beloit;42,523;-89,0184
Belpre;39,2815;-81,5971
Belton;38,8193;-94,5334
Beltsville;39,0394;-76,9211
Belvedere Park;33,7488;-84,2598
Belvidere;42,2544;-88,8649
Bemidji;47,4828;-94,8796
Ben Lomond;37,0782;-122,0882
Benbrook;32,6787;-97,4638
Bend;44,0562;-121,3087
Benicia;38,0725;-122,1525
Benner;40,8698;-77,8154
Bennettsville;34,6303;-79,6874
Bennington;42,8852;-73,2132
Bensalem;40,1086;-74,9431
Bensenville;41,9593;-87,9433
Bensley;37,447;-77,442
Bensville;38,6176;-77,0077
Benton;34,5775;-92,5712
Benton Harbor;42,1159;-86,4488
Bentonville;36,3546;-94,2306
Berea;41,3696;-81,8642
Bergenfield;40,9236;-73,9983
Berkeley;37,8723;-122,276
Berkeley Heights;40,6764;-74,4244
Berkley;42,4986;-83,1853
Berlin;41,6114;-72,7758
Bermuda Dunes;33,7434;-116,2874
Bern;40,4005;-75,9933
Bernalillo;35,3127;-106,5537
Bernards;40,6761;-74,5678
Bernardsville;40,7268;-74,5918
Berne;40,6572;-84,9555
Berrien Springs;41,9474;-86,3403
Berthoud;40,307;-105,0419
Berwick;41,0555;-76,2492
Berwyn;41,8433;-87,7909
Bessemer;33,3709;-86,9713
Bessemer City;35,2841;-81,283
Bethalto;38,9014;-90,0467
Bethany;45,5613;-122,8369
Bethel;41,3747;-73,3928
Bethel Park;40,3239;-80,0364
Bethel Township;39,8458;-75,4891
Bethesda;38,9866;-77,1188
Bethlehem;40,6266;-75,3679
Bethpage;40,7495;-73,4856
Bettendorf;41,5656;-90,4764
Beverly;42,5681;-70,8627
Beverly Hills;34,0786;-118,4021
Bexley;39,965;-82,9343
Biddeford;43,4674;-70,4512
Big Bear City;34,2536;-116,7903
Big Bear Lake;34,2429;-116,8951
Big Flats;42,1387;-76,9138
Big Lake;45,3416;-93,7431
Big Rapids;43,6992;-85,4806
Big Spring;32,2387;-101,4802
Big Stone Gap;36,8626;-82,7769
Billerica;42,5587;-71,2673
Billings;45,7891;-108,5524
Biloxi;30,4422;-88,9512
Binghamton;42,1014;-75,9093
Binghamton University;42,0893;-75,9684
Birch Bay;48,923;-122,7543
Birdsboro;40,262;-75,8099
Birmingham;33,5277;-86,7987
Bisbee;31,4126;-109,9179
Bishop;37,3665;-118,3958
Bismarck;46,8144;-100,7694
Bithlo;28,5644;-81,1074
Bixby;35,9454;-95,8773
Black Forest;39,0608;-104,6752
Black Jack;38,7993;-90,264
Black Mountain;35,6142;-82,3275
Black River Falls;44,2981;-90,842
Blackfoot;43,194;-112,3455
Blackhawk;37,816;-121,9071
Blacklick Estates;39,9049;-82,8655
Blacksburg;37,23;-80,4279
Blackstone;42,0399;-71,5313
Blackwell;36,8011;-97,3008
Bladensburg;38,9424;-76,9263
Blaine;45,1696;-93,2077
Blair;41,5417;-96,1361
Blairstown;40,9813;-74,9984
Blairsville;40,4325;-79,2599
Blakely;41,4859;-75,6012
Blanchard;35,1523;-97,6613
Blandon;40,4446;-75,8799
Blauvelt;41,0689;-73,9545
Bliss Corner;41,6054;-70,9421
Bloomfield;40,8098;-74,1868
Blooming Grove;41,3948;-74,184
Bloomingdale;27,8784;-82,2624
